Index_column,id,cellid,start,end,phase,task,completion,HasNext,HasNextTask,Group_Number,GroupKey,Task_Group_Number,task_group_completion,MainColor,MaxGroupDate,MaxTaskGroupDate,MinGroupDate,MinTaskGroupDate,Media_Color
95,Prod 14Media 3,Prod 14-Media 3-7-2024,2024-02-11 00:00:00,2024-02-17 00:00:00,Prod 14,Media 3,34884,true,true,1,24,2,69768,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2024-02-11 00:00:00,#CC00CC
96,Prod 14Media 3,Prod 14-Media 3-8-2024,2024-02-18 00:00:00,2024-02-24 00:00:00,Prod 14,Media 3,34884,false,false,1,25,2,69768,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2024-02-11 00:00:00,#CC00CC
97,Prod 14Media 10,Prod 14-Media 10-46-2023,2023-11-12 00:00:00,2023-11-18 00:00:00,Prod 14,Media 10,3333,true,true,1,11,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
98,Prod 14Media 10,Prod 14-Media 10-47-2023,2023-11-19 00:00:00,2023-11-25 00:00:00,Prod 14,Media 10,3333,true,true,1,12,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
99,Prod 14Media 10,Prod 14-Media 10-48-2023,2023-11-26 00:00:00,2023-12-02 00:00:00,Prod 14,Media 10,3333,true,true,1,13,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
100,Prod 14Media 10,Prod 14-Media 10-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 14,Media 10,2500,true,true,1,14,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
101,Prod 14Media 10,Prod 14-Media 10-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 14,Media 10,2500,true,true,1,15,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
102,Prod 14Media 10,Prod 14-Media 10-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 14,Media 10,2500,true,true,1,16,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
103,Prod 14Media 10,Prod 14-Media 10-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 14,Media 10,2500,true,true,1,17,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
104,Prod 14Media 10,Prod 14-Media 10-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 14,Media 10,2500,true,true,1,18,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
105,Prod 14Media 10,Prod 14-Media 10-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 14,Media 10,2500,true,true,1,19,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
106,Prod 14Media 10,Prod 14-Media 10-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 14,Media 10,2500,true,true,1,20,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
107,Prod 14Media 10,Prod 14-Media 10-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 14,Media 10,2500,true,true,1,21,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
108,Prod 14Media 10,Prod 14-Media 10-5-2024,2024-01-28 00:00:00,2024-02-03 00:00:00,Prod 14,Media 10,2500,true,true,1,22,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
109,Prod 14Media 10,Prod 14-Media 10-6-2024,2024-02-04 00:00:00,2024-02-10 00:00:00,Prod 14,Media 10,2500,true,true,1,23,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
110,Prod 14Media 10,Prod 14-Media 10-7-2024,2024-02-11 00:00:00,2024-02-17 00:00:00,Prod 14,Media 10,2500,true,true,1,24,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
111,Prod 14Media 10,Prod 14-Media 10-8-2024,2024-02-18 00:00:00,2024-02-24 00:00:00,Prod 14,Media 10,2500,false,false,1,25,1,39999,#004f71,2024-02-25 00:00:00,2024-02-25 00:00:00,2023-11-05 00:00:00,2023-11-12 00:00:00,#88C7D8
112,Prod 14Media 12,Prod 14-Media 12-45-2023,2023-11-05 00:00:00,2023-11-11 00:00:00,Prod 14,Media 12,1000,true,true,1,10,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
113,Prod 14Media 12,Prod 14-Media 12-46-2023,2023-11-12 00:00:00,2023-11-18 00:00:00,Prod 14,Media 12,1000,true,true,1,11,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
114,Prod 14Media 12,Prod 14-Media 12-47-2023,2023-11-19 00:00:00,2023-11-25 00:00:00,Prod 14,Media 12,1000,true,true,1,12,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
115,Prod 14Media 12,Prod 14-Media 12-48-2023,2023-11-26 00:00:00,2023-12-02 00:00:00,Prod 14,Media 12,1000,true,true,1,13,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
116,Prod 14Media 12,Prod 14-Media 12-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 14,Media 12,1500,true,true,1,14,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
117,Prod 14Media 12,Prod 14-Media 12-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 14,Media 12,1500,true,true,1,15,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
118,Prod 14Media 12,Prod 14-Media 12-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 14,Media 12,1500,true,true,1,16,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
119,Prod 14Media 12,Prod 14-Media 12-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 14,Media 12,1500,true,true,1,17,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
120,Prod 14Media 12,Prod 14-Media 12-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 14,Media 12,1815,true,true,1,18,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
121,Prod 14Media 12,Prod 14-Media 12-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 14,Media 12,1815,true,true,1,19,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
122,Prod 14Media 12,Prod 14-Media 12-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 14,Media 12,1815,true,true,1,20,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
123,Prod 14Media 12,Prod 14-Media 12-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 14,Media 12,1815,true,true,1,21,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
124,Prod 14Media 12,Prod 14-Media 12-5-2024,2024-01-28 00:00:00,2024-02-03 00:00:00,Prod 14,Media 12,1371,true,true,1,22,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
125,Prod 14Media 12,Prod 14-Media 12-6-2024,2024-02-04 00:00:00,2024-02-10 00:00:00,Prod 14,Media 12,1371,true,false,1,23,1,20002,#004f71,2024-02-25 00:00:00,2024-02-11 00:00:00,2023-11-05 00:00:00,2023-11-05 00:00:00,#6470CA
134,Prod 17Media 5,Prod 17-Media 5-30-2024,2024-07-21 00:00:00,2024-07-27 00:00:00,Prod 17,Media 5,49903,true,true,1,47,1,149709,#ed8b00,2024-08-11 00:00:00,2024-08-11 00:00:00,2024-07-21 00:00:00,2024-07-21 00:00:00,#ffad5c
135,Prod 17Media 5,Prod 17-Media 5-31-2024,2024-07-28 00:00:00,2024-08-03 00:00:00,Prod 17,Media 5,49903,true,true,1,48,1,149709,#ed8b00,2024-08-11 00:00:00,2024-08-11 00:00:00,2024-07-21 00:00:00,2024-07-21 00:00:00,#ffad5c
136,Prod 17Media 5,Prod 17-Media 5-32-2024,2024-08-04 00:00:00,2024-08-10 00:00:00,Prod 17,Media 5,49903,false,false,1,49,1,149709,#ed8b00,2024-08-11 00:00:00,2024-08-11 00:00:00,2024-07-21 00:00:00,2024-07-21 00:00:00,#ffad5c
151,Prod 4Media 16,Prod 4-Media 16-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 16,11929,true,true,1,14,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
152,Prod 4Media 16,Prod 4-Media 16-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 4,Media 16,9771,true,true,1,15,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
153,Prod 4Media 16,Prod 4-Media 16-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 4,Media 16,9907,true,true,1,16,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
154,Prod 4Media 16,Prod 4-Media 16-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 4,Media 16,10581,true,true,1,17,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
155,Prod 4Media 16,Prod 4-Media 16-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 4,Media 16,5461,true,true,1,18,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
156,Prod 4Media 16,Prod 4-Media 16-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 4,Media 16,3807,true,true,1,19,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
157,Prod 4Media 16,Prod 4-Media 16-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 16,3905,true,true,1,20,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
158,Prod 4Media 16,Prod 4-Media 16-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 4,Media 16,3832,true,true,1,21,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
159,Prod 4Media 16,Prod 4-Media 16-5-2024,2024-01-28 00:00:00,2024-02-03 00:00:00,Prod 4,Media 16,3019,true,true,1,22,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
160,Prod 4Media 16,Prod 4-Media 16-6-2024,2024-02-04 00:00:00,2024-02-10 00:00:00,Prod 4,Media 16,3297,true,true,1,23,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
161,Prod 4Media 16,Prod 4-Media 16-7-2024,2024-02-11 00:00:00,2024-02-17 00:00:00,Prod 4,Media 16,3082,true,true,1,24,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
162,Prod 4Media 16,Prod 4-Media 16-8-2024,2024-02-18 00:00:00,2024-02-24 00:00:00,Prod 4,Media 16,2932,true,true,1,25,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
163,Prod 4Media 16,Prod 4-Media 16-9-2024,2024-02-25 00:00:00,2024-03-02 00:00:00,Prod 4,Media 16,1719,true,false,1,26,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
164,Prod 4Media 12,Prod 4-Media 12-48-2023,2023-11-26 00:00:00,2023-12-02 00:00:00,Prod 4,Media 12,305,true,true,1,13,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
165,Prod 4Media 12,Prod 4-Media 12-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 12,748,true,true,1,14,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
166,Prod 4Media 12,Prod 4-Media 12-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 4,Media 12,751,true,true,1,15,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
167,Prod 4Media 12,Prod 4-Media 12-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 4,Media 12,689,true,true,1,16,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
168,Prod 4Media 12,Prod 4-Media 12-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 4,Media 12,1617,true,true,1,17,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
169,Prod 4Media 12,Prod 4-Media 12-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 4,Media 12,1396,true,true,1,18,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
170,Prod 4Media 12,Prod 4-Media 12-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 4,Media 12,1128,true,true,1,19,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
171,Prod 4Media 12,Prod 4-Media 12-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 12,488,true,true,1,20,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
172,Prod 4Media 12,Prod 4-Media 12-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 4,Media 12,917,true,true,1,21,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
173,Prod 4Media 12,Prod 4-Media 12-5-2024,2024-01-28 00:00:00,2024-02-03 00:00:00,Prod 4,Media 12,442,true,true,1,22,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
174,Prod 4Media 12,Prod 4-Media 12-6-2024,2024-02-04 00:00:00,2024-02-10 00:00:00,Prod 4,Media 12,1086,true,true,1,23,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
175,Prod 4Media 12,Prod 4-Media 12-7-2024,2024-02-11 00:00:00,2024-02-17 00:00:00,Prod 4,Media 12,523,true,true,1,24,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
176,Prod 4Media 12,Prod 4-Media 12-8-2024,2024-02-18 00:00:00,2024-02-24 00:00:00,Prod 4,Media 12,429,true,true,1,25,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
177,Prod 4Media 12,Prod 4-Media 12-9-2024,2024-02-25 00:00:00,2024-03-02 00:00:00,Prod 4,Media 12,33,true,true,1,26,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
178,Prod 4Media 12,Prod 4-Media 12-10-2024,2024-03-03 00:00:00,2024-03-09 00:00:00,Prod 4,Media 12,488,true,true,1,27,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
179,Prod 4Media 12,Prod 4-Media 12-48-2023,2023-11-26 00:00:00,2023-12-02 00:00:00,Prod 4,Media 12,1184,true,true,1,13,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
180,Prod 4Media 12,Prod 4-Media 12-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 12,1105,true,true,1,14,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
181,Prod 4Media 12,Prod 4-Media 12-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 4,Media 12,1008,true,true,1,15,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
182,Prod 4Media 12,Prod 4-Media 12-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 4,Media 12,1424,true,true,1,16,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
183,Prod 4Media 12,Prod 4-Media 12-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 4,Media 12,1648,true,true,1,17,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
184,Prod 4Media 12,Prod 4-Media 12-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 4,Media 12,1598,true,true,1,18,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
185,Prod 4Media 12,Prod 4-Media 12-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 4,Media 12,676,true,true,1,19,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
186,Prod 4Media 12,Prod 4-Media 12-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 12,1574,true,true,1,20,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
187,Prod 4Media 12,Prod 4-Media 12-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 4,Media 12,803,true,true,1,21,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
188,Prod 4Media 12,Prod 4-Media 12-5-2024,2024-01-28 00:00:00,2024-02-03 00:00:00,Prod 4,Media 12,1752,true,true,1,22,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
189,Prod 4Media 12,Prod 4-Media 12-6-2024,2024-02-04 00:00:00,2024-02-10 00:00:00,Prod 4,Media 12,721,true,true,1,23,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
190,Prod 4Media 12,Prod 4-Media 12-7-2024,2024-02-11 00:00:00,2024-02-17 00:00:00,Prod 4,Media 12,636,true,true,1,24,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
191,Prod 4Media 12,Prod 4-Media 12-8-2024,2024-02-18 00:00:00,2024-02-24 00:00:00,Prod 4,Media 12,93,true,true,1,25,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
192,Prod 4Media 7,Prod 4-Media 7-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 4,Media 7,70000,true,true,1,17,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
193,Prod 4Media 7,Prod 4-Media 7-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 4,Media 7,45242,true,true,1,18,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
194,Prod 4Media 7,Prod 4-Media 7-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 4,Media 7,42529,true,true,1,19,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
195,Prod 4Media 7,Prod 4-Media 7-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 4,Media 7,41247,true,true,1,21,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
196,Prod 4Media 7,Prod 4-Media 7-6-2024,2024-02-04 00:00:00,2024-02-10 00:00:00,Prod 4,Media 7,43795,true,false,1,23,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
197,Prod 5Media 10,Prod 5-Media 10-12-2024,2024-03-17 00:00:00,2024-03-23 00:00:00,Prod 5,Media 10,145351,true,true,1,29,1,1017455,#008eaa,2024-05-05 00:00:00,2024-04-21 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#88C7D8
198,Prod 5Media 10,Prod 5-Media 10-13-2024,2024-03-24 00:00:00,2024-03-30 00:00:00,Prod 5,Media 10,276166,true,true,1,30,1,1017455,#008eaa,2024-05-05 00:00:00,2024-04-21 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#88C7D8
199,Prod 5Media 10,Prod 5-Media 10-14-2024,2024-03-31 00:00:00,2024-04-06 00:00:00,Prod 5,Media 10,305237,true,true,1,31,1,1017455,#008eaa,2024-05-05 00:00:00,2024-04-21 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#88C7D8
200,Prod 5Media 10,Prod 5-Media 10-15-2024,2024-04-07 00:00:00,2024-04-13 00:00:00,Prod 5,Media 10,214392,true,true,1,32,1,1017455,#008eaa,2024-05-05 00:00:00,2024-04-21 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#88C7D8
201,Prod 5Media 10,Prod 5-Media 10-16-2024,2024-04-14 00:00:00,2024-04-20 00:00:00,Prod 5,Media 10,76309,true,false,1,33,1,1017455,#008eaa,2024-05-05 00:00:00,2024-04-21 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#88C7D8
202,Prod 5Media 13,Prod 5-Media 13-12-2024,2024-03-17 00:00:00,2024-03-23 00:00:00,Prod 5,Media 13,22000,true,true,1,29,1,876027,#008eaa,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#1b5583
203,Prod 5Media 13,Prod 5-Media 13-13-2024,2024-03-24 00:00:00,2024-03-30 00:00:00,Prod 5,Media 13,210540,true,true,1,30,1,876027,#008eaa,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#1b5583
204,Prod 5Media 13,Prod 5-Media 13-14-2024,2024-03-31 00:00:00,2024-04-06 00:00:00,Prod 5,Media 13,38500,true,true,1,31,1,876027,#008eaa,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#1b5583
205,Prod 5Media 13,Prod 5-Media 13-15-2024,2024-04-07 00:00:00,2024-04-13 00:00:00,Prod 5,Media 13,75900,true,true,1,32,1,876027,#008eaa,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#1b5583
206,Prod 5Media 13,Prod 5-Media 13-16-2024,2024-04-14 00:00:00,2024-04-20 00:00:00,Prod 5,Media 13,271150,true,true,1,33,1,876027,#008eaa,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#1b5583
207,Prod 5Media 13,Prod 5-Media 13-17-2024,2024-04-21 00:00:00,2024-04-27 00:00:00,Prod 5,Media 13,243857,true,true,1,34,1,876027,#008eaa,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#1b5583
208,Prod 5Media 13,Prod 5-Media 13-18-2024,2024-04-28 00:00:00,2024-05-04 00:00:00,Prod 5,Media 13,14080,false,false,1,35,1,876027,#008eaa,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-03-17 00:00:00,2024-03-17 00:00:00,#1b5583
209,Prod 5Media 14,Prod 5-Media 14-14-2024,2024-03-31 00:00:00,2024-04-06 00:00:00,Prod 5,Media 14,8450,true,true,1,31,1,464864,#008eaa,2024-05-05 00:00:00,2024-04-28 00:00:00,2024-03-17 00:00:00,2024-03-31 00:00:00,#1D436F
210,Prod 5Media 14,Prod 5-Media 14-15-2024,2024-04-07 00:00:00,2024-04-13 00:00:00,Prod 5,Media 14,17400,true,true,1,32,1,464864,#008eaa,2024-05-05 00:00:00,2024-04-28 00:00:00,2024-03-17 00:00:00,2024-03-31 00:00:00,#1D436F
211,Prod 5Media 14,Prod 5-Media 14-16-2024,2024-04-14 00:00:00,2024-04-20 00:00:00,Prod 5,Media 14,162115,true,true,1,33,1,464864,#008eaa,2024-05-05 00:00:00,2024-04-28 00:00:00,2024-03-17 00:00:00,2024-03-31 00:00:00,#1D436F
